iterations,mean reward,std reward
0,262.1919578110876,56.45458020189931
1,309.9487565547054,73.08098537861807
2,687.3340550041366,238.3299415910201
3,1789.9810438024806,826.1541916794126
4,1766.7229710575298,1059.277903690114
